payroll_id,employee_id,employee_name,role,contract_type,hire_date,termination_date,month,hours_worked,hourly_rate,base_salary,overtime_hours,overtime_pay,bonus,deductions,net_pay,payment_method,payment_status
PAY-E001-2010-01,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2010-01,175,9.0,1440.0,15,236.25,43.47,276.37,1443.35,Bank Transfer,Paid
PAY-E001-2010-01,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2010-01,160,9.0,1440.0,0,0.0,13.89,170.43,1283.46,Cash,Paid
PAY-E003-2010-01,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2010-01,162,7.5,1200.0,2,26.25,4.84,206.58,1024.51,Cash,Paid
PAY-E003-2010-01,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2010-01,173,7.5,1200.0,13,170.62,22.97,153.28,1240.31,Cash,Paid
PAY-E001-2010-02,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2010-02,176,9.0,1440.0,16,252.0,18.24,221.67,1488.57,Bank Transfer,Paid
PAY-E001-2010-02,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2010-02,172,9.0,1440.0,12,189.0,46.83,254.46,1421.37,Bank Transfer,Paid
PAY-E006-2010-02,E006,Cristina Perez,Cashier,Full-time,2010-02-01,,2010-02,157,7.5,1177.5,0,0.0,8.17,154.56,1031.11,Bank Transfer,Paid
PAY-E005-2010-03,E005,Ana Torres,Cook,Full-time,2010-02-01,,2010-03,178,9.0,1440.0,18,283.5,45.73,241.87,1527.36,Cash,Paid
PAY-E007-2010-03,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2010-03,173,8.0,1280.0,13,182.0,28.07,180.33,1309.74,Cash,Delayed
PAY-E001-2010-04,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2010-04,169,9.0,1440.0,9,141.75,3.18,206.88,1378.05,Cash,Paid
PAY-E003-2010-04,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2010-04,167,7.5,1200.0,7,91.88,43.04,134.72,1200.2,Bank Transfer,Paid
PAY-E007-2010-04,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2010-04,167,8.0,1280.0,7,98.0,37.54,228.59,1186.95,Cash,Paid
PAY-E005-2010-05,E005,Ana Torres,Cook,Full-time,2010-02-01,,2010-05,177,9.0,1440.0,17,267.75,31.27,291.0,1448.02,Bank Transfer,Paid
PAY-E003-2010-05,E003,Ana Torres,Cashier,Full-time,2010-01-01,,2010-05,174,7.5,1200.0,14,183.75,8.08,245.35,1146.48,Bank Transfer,Paid
PAY-E002-2010-05,E002,Ana Torres,Barista,Full-time,2010-01-01,,2010-05,165,8.0,1280.0,5,70.0,0.97,235.51,1115.46,Cash,Paid
PAY-E002-2010-06,E002,Ana Torres,Barista,Full-time,2010-01-01,,2010-06,174,8.0,1280.0,14,196.0,30.06,230.1,1275.96,Bank Transfer,Paid
PAY-E009-2010-06,E009,Carlos Ruiz,Cook,Full-time,2010-03-01,,2010-06,177,9.0,1440.0,17,267.75,68.53,314.67,1461.61,Bank Transfer,Paid
PAY-E011-2010-07,E011,Luis Moreno,Barista,Part-time,2010-05-01,,2010-07,77,8.0,616.0,0,0.0,25.12,65.19,575.93,Bank Transfer,Paid
PAY-E009-2010-07,E009,Carlos Ruiz,Cook,Full-time,2010-03-01,,2010-07,150,9.0,1350.0,0,0.0,25.68,207.02,1168.66,Bank Transfer,Paid
PAY-E004-2010-07,E004,Carlos Ruiz,Manager,Full-time,2010-01-01,,2010-07,151,11.0,1661.0,0,0.0,88.77,184.9,1564.87,Bank Transfer,Paid
PAY-E010-2010-08,E010,Ana Torres,Cashier,Full-time,2010-04-01,,2010-08,163,7.5,1200.0,3,39.38,35.23,137.34,1137.27,Cash,Paid
PAY-E004-2010-08,E004,Carlos Ruiz,Manager,Full-time,2010-01-01,,2010-08,163,11.0,1760.0,3,57.75,57.36,296.88,1578.23,Bank Transfer,Paid
PAY-E013-2010-08,E013,Luis Moreno,Cashier,Part-time,2010-08-01,,2010-08,93,7.5,697.5,0,0.0,47.14,125.79,618.85,Bank Transfer,Paid
PAY-E007-2010-09,E007,Javier Lopez,Barista,Full-time,2010-02-01,,2010-09,151,8.0,1208.0,0,0.0,32.61,177.71,1062.9,Bank Transfer,Pending
PAY-E002-2010-09,E002,Ana Torres,Barista,Full-time,2010-01-01,,2010-09,179,8.0,1280.0,19,266.0,37.68,188.32,1395.36,Cash,Paid
PAY-E014-2010-09,E014,Carlos Ruiz,Manager,Part-time,2010-09-01,,2010-09,76,11.0,836.0,0,0.0,43.23,151.4,727.83,Bank Transfer,Paid
PAY-E002-2010-09,E002,Ana Torres,Barista,Full-time,2010-01-01,,2010-09,162,8.0,1280.0,2,28.0,13.26,215.0,1106.26,Cash,Paid
PAY-E013-2010-10,E013,Luis Moreno,Cashier,Part-time,2010-08-01,,2010-10,93,7.5,697.5,0,0.0,15.68,74.18,639.0,Cash,Paid
PAY-E012-2010-10,E012,Cristina Perez,Manager,Full-time,2010-06-01,,2010-10,177,11.0,1760.0,17,327.25,26.56,221.0,1892.81,Bank Transfer,Delayed
PAY-E004-2010-10,E004,Carlos Ruiz,Manager,Full-time,2010-01-01,,2010-10,152,11.0,1672.0,0,0.0,29.75,262.1,1439.65,Bank Transfer,Paid
PAY-E001-2010-10,E001,Carlos Ruiz,Cook,Full-time,2010-01-01,,2010-10,180,9.0,1440.0,20,315.0,44.51,215.4,1584.11,Bank Transfer,Paid
